2025-04-30 15:36:55.227 INFO: Epoch 18: head: Default, loss=0.6174, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.20, RMSE_ALPHA_DERIV=    2.43
2025-04-30 15:37:09.591 INFO: Epoch 19: head: Default, loss=0.5840, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.18, RMSE_ALPHA_DERIV=    2.35
2025-04-30 15:37:23.946 INFO: Epoch 20: head: Default, loss=0.5233, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.18, RMSE_ALPHA_DERIV=    2.20
2025-04-30 15:37:38.340 INFO: Epoch 21: head: Default, loss=0.5695, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.24, RMSE_ALPHA_DERIV=    2.28
2025-04-30 15:37:52.668 INFO: Epoch 22: head: Default, loss=0.5921, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.23, RMSE_ALPHA_DERIV=    2.29
2025-04-30 15:38:07.035 INFO: Epoch 23: head: Default, loss=0.5651, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.20, RMSE_ALPHA_DERIV=    2.27
2025-04-30 15:38:21.394 INFO: Epoch 24: head: Default, loss=0.7476, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.18, RMSE_ALPHA_DERIV=    2.72
2025-04-30 15:38:35.645 INFO: Epoch 25: head: Default, loss=0.5315, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.23, RMSE_ALPHA_DERIV=    2.24
2025-04-30 15:38:50.136 INFO: Epoch 26: head: Default, loss=0.6422, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.29, RMSE_ALPHA_DERIV=    2.33
2025-04-30 15:39:04.488 INFO: Epoch 27: head: Default, loss=0.5066, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.29, RMSE_ALPHA_DERIV=    2.07
2025-04-30 15:39:18.895 INFO: Epoch 28: head: Default, loss=0.6915, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.38, RMSE_ALPHA_DERIV=    2.29
2025-04-30 15:39:33.260 INFO: Epoch 29: head: Default, loss=0.5642, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.29, RMSE_ALPHA_DERIV=    2.24
2025-04-30 15:39:47.629 INFO: Epoch 30: head: Default, loss=0.6360, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.34, RMSE_ALPHA_DERIV=    2.27
2025-04-30 15:40:01.887 INFO: Epoch 31: head: Default, loss=0.4814, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.12, RMSE_ALPHA_DERIV=    2.12
2025-04-30 15:40:16.258 INFO: Epoch 32: head: Default, loss=0.5442, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.14, RMSE_ALPHA_DERIV=    2.32
2025-04-30 15:40:30.657 INFO: Epoch 33: head: Default, loss=0.3801, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.19, RMSE_ALPHA_DERIV=    1.87
