2025-04-30 15:38:10.105 INFO: Epoch 18: head: Default, loss=1.1402, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.10, RMSE_ALPHA_DERIV=    2.80
2025-04-30 15:38:19.052 INFO: Epoch 19: head: Default, loss=1.1313, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.22, RMSE_ALPHA_DERIV=    2.75
2025-04-30 15:38:28.008 INFO: Epoch 20: head: Default, loss=1.2536, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.16, RMSE_ALPHA_DERIV=    2.95
2025-04-30 15:38:36.927 INFO: Epoch 21: head: Default, loss=1.3768, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.31, RMSE_ALPHA_DERIV=    3.03
2025-04-30 15:38:45.831 INFO: Epoch 22: head: Default, loss=1.0968, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.32, RMSE_ALPHA_DERIV=    2.57
2025-04-30 15:38:54.780 INFO: Epoch 23: head: Default, loss=0.9646, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.14, RMSE_ALPHA_DERIV=    2.57
2025-04-30 15:39:03.709 INFO: Epoch 24: head: Default, loss=0.9857, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.20, RMSE_ALPHA_DERIV=    2.57
2025-04-30 15:39:12.626 INFO: Epoch 25: head: Default, loss=0.9188, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.14, RMSE_ALPHA_DERIV=    2.49
2025-04-30 15:39:21.615 INFO: Epoch 26: head: Default, loss=0.9560, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.27, RMSE_ALPHA_DERIV=    2.46
2025-04-30 15:39:30.519 INFO: Epoch 27: head: Default, loss=1.2286, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.34, RMSE_ALPHA_DERIV=    2.82
2025-04-30 15:39:39.421 INFO: Epoch 28: head: Default, loss=0.7976, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.14, RMSE_ALPHA_DERIV=    2.32
2025-04-30 15:39:48.381 INFO: Epoch 29: head: Default, loss=1.0671, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.24, RMSE_ALPHA_DERIV=    2.67
2025-04-30 15:39:57.272 INFO: Epoch 30: head: Default, loss=1.0562, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.27, RMSE_ALPHA_DERIV=    2.62
2025-04-30 15:40:06.166 INFO: Epoch 31: head: Default, loss=0.9686, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.20, RMSE_ALPHA_DERIV=    2.57
2025-04-30 15:40:15.081 INFO: Epoch 32: head: Default, loss=0.8587, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.14, RMSE_ALPHA_DERIV=    2.42
2025-04-30 15:40:24.007 INFO: Epoch 33: head: Default, loss=0.9218, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.29, RMSE_ALPHA_DERIV=    2.40
2025-04-30 15:40:32.918 INFO: Epoch 34: head: Default, loss=1.0132, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.22, RMSE_ALPHA_DERIV=    2.64
2025-04-30 15:40:41.703 INFO: Epoch 35: head: Default, loss=0.7751, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.15, RMSE_ALPHA_DERIV=    2.26
2025-04-30 15:40:50.530 INFO: Epoch 36: head: Default, loss=0.7643, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.14, RMSE_ALPHA_DERIV=    2.27
2025-04-30 15:40:59.475 INFO: Epoch 37: head: Default, loss=0.8415, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.29, RMSE_ALPHA_DERIV=    2.28
2025-04-30 15:41:08.380 INFO: Epoch 38: head: Default, loss=0.7759, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.23, RMSE_ALPHA_DERIV=    2.22
2025-04-30 15:41:17.276 INFO: Epoch 39: head: Default, loss=0.6614, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.10, RMSE_ALPHA_DERIV=    2.13
2025-04-30 15:41:26.247 INFO: Epoch 40: head: Default, loss=0.8824, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.15, RMSE_ALPHA_DERIV=    2.48
2025-04-30 15:41:35.162 INFO: Epoch 41: head: Default, loss=0.6615, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.13, RMSE_ALPHA_DERIV=    2.13
2025-04-30 15:41:44.093 INFO: Epoch 42: head: Default, loss=0.8178, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.34, RMSE_ALPHA_DERIV=    2.16
2025-04-30 15:41:53.006 INFO: Epoch 43: head: Default, loss=0.7280, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.27, RMSE_ALPHA_DERIV=    2.11
2025-04-30 15:42:01.912 INFO: Epoch 44: head: Default, loss=0.7499, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.34, RMSE_ALPHA_DERIV=    2.06
2025-04-30 15:42:10.840 INFO: Epoch 45: head: Default, loss=0.8366, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.30, RMSE_ALPHA_DERIV=    2.22
