2025-07-11 21:29:47.384 INFO: Epoch 19: head: Default, loss=2.2726, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.43, RMSE_ALPHA_DERIV=    4.04
2025-07-11 21:30:17.137 INFO: Epoch 20: head: Default, loss=2.2315, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.47, RMSE_ALPHA_DERIV=    3.95
2025-07-11 21:30:46.876 INFO: Epoch 21: head: Default, loss=1.9403, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.22, RMSE_ALPHA_DERIV=    3.88
2025-07-11 21:31:16.614 INFO: Epoch 22: head: Default, loss=1.7804, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.25, RMSE_ALPHA_DERIV=    3.69
2025-07-11 21:31:46.355 INFO: Epoch 23: head: Default, loss=1.9562, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.35, RMSE_ALPHA_DERIV=    3.80
2025-07-11 21:32:16.038 INFO: Epoch 24: head: Default, loss=1.9600, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.50, RMSE_ALPHA_DERIV=    3.63
2025-07-11 21:32:45.722 INFO: Epoch 25: head: Default, loss=2.1775, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.27, RMSE_ALPHA_DERIV=    4.09
2025-07-11 21:33:15.422 INFO: Epoch 26: head: Default, loss=1.8063, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.27, RMSE_ALPHA_DERIV=    3.71
2025-07-11 21:33:45.123 INFO: Epoch 27: head: Default, loss=1.8520, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.19, RMSE_ALPHA_DERIV=    3.80
2025-07-11 21:34:14.818 INFO: Epoch 28: head: Default, loss=1.9779, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.24, RMSE_ALPHA_DERIV=    3.90
2025-07-11 21:34:44.516 INFO: Epoch 29: head: Default, loss=1.7985, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.32, RMSE_ALPHA_DERIV=    3.65
2025-07-11 21:35:14.190 INFO: Epoch 30: head: Default, loss=1.4715, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.21, RMSE_ALPHA_DERIV=    3.37
2025-07-11 21:35:43.939 INFO: Epoch 31: head: Default, loss=1.4425, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.31, RMSE_ALPHA_DERIV=    3.25
2025-07-11 21:36:13.679 INFO: Epoch 32: head: Default, loss=1.3153, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.16, RMSE_ALPHA_DERIV=    3.20
2025-07-11 21:36:43.418 INFO: Epoch 33: head: Default, loss=1.2512, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.13, RMSE_ALPHA_DERIV=    3.14
2025-07-11 21:37:13.163 INFO: Epoch 34: head: Default, loss=1.3064, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.28, RMSE_ALPHA_DERIV=    3.11
2025-07-11 21:37:42.847 INFO: Epoch 35: head: Default, loss=1.5885, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.28, RMSE_ALPHA_DERIV=    3.45
2025-07-11 21:38:12.514 INFO: Epoch 36: head: Default, loss=1.2335, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.22, RMSE_ALPHA_DERIV=    3.07
2025-07-11 21:38:42.233 INFO: Epoch 37: head: Default, loss=1.1792, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.14, RMSE_ALPHA_DERIV=    3.04
