2025-07-12 19:10:30.680 INFO: Epoch 19: head: Default, loss=0.2751, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.04 mDebye / A, RMSE_ALPHA_per_atom=    1.05, RMSE_ALPHA_DERIV=    9.85
2025-07-12 19:10:44.611 INFO: Epoch 20: head: Default, loss=0.0748, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.03 mDebye / A, RMSE_ALPHA_per_atom=    0.55, RMSE_ALPHA_DERIV=    9.52
2025-07-12 19:10:58.596 INFO: Epoch 21: head: Default, loss=0.2662, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.03 mDebye / A, RMSE_ALPHA_per_atom=    1.03, RMSE_ALPHA_DERIV=    9.62
2025-07-12 19:11:12.544 INFO: Epoch 22: head: Default, loss=0.1478, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.03 mDebye / A, RMSE_ALPHA_per_atom=    0.77, RMSE_ALPHA_DERIV=    9.43
2025-07-12 19:11:26.492 INFO: Epoch 23: head: Default, loss=0.1324, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.03 mDebye / A, RMSE_ALPHA_per_atom=    0.73, RMSE_ALPHA_DERIV=    9.33
2025-07-12 19:11:40.443 INFO: Epoch 24: head: Default, loss=0.1711, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.03 mDebye / A, RMSE_ALPHA_per_atom=    0.83, RMSE_ALPHA_DERIV=    9.27
2025-07-12 19:11:54.384 INFO: Epoch 25: head: Default, loss=0.2041, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    0.90, RMSE_ALPHA_DERIV=    9.16
2025-07-12 19:12:08.327 INFO: Epoch 26: head: Default, loss=0.0482, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    0.44, RMSE_ALPHA_DERIV=    8.92
2025-07-12 19:12:22.313 INFO: Epoch 27: head: Default, loss=0.2882, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    1.07, RMSE_ALPHA_DERIV=    9.07
2025-07-12 19:12:36.253 INFO: Epoch 28: head: Default, loss=0.0382, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    0.39, RMSE_ALPHA_DERIV=    8.74
2025-07-12 19:12:50.239 INFO: Epoch 29: head: Default, loss=0.0644, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    0.51, RMSE_ALPHA_DERIV=    8.70
2025-07-12 19:13:04.179 INFO: Epoch 30: head: Default, loss=0.2515, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    1.00, RMSE_ALPHA_DERIV=    8.84
2025-07-12 19:13:18.117 INFO: Epoch 31: head: Default, loss=0.0210, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    0.29, RMSE_ALPHA_DERIV=    8.54
2025-07-12 19:13:32.105 INFO: Epoch 32: head: Default, loss=0.1602, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.80, RMSE_ALPHA_DERIV=    8.71
2025-07-12 19:13:46.049 INFO: Epoch 33: head: Default, loss=0.1278, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.72, RMSE_ALPHA_DERIV=    8.68
2025-07-12 19:13:59.990 INFO: Epoch 34: head: Default, loss=0.0778, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.56, RMSE_ALPHA_DERIV=    8.57
2025-07-12 19:14:13.924 INFO: Epoch 35: head: Default, loss=0.0730, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.54, RMSE_ALPHA_DERIV=    8.50
