2025-07-11 21:27:14.862 INFO: Epoch 19: head: Default, loss=0.8936, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    0.45, RMSE_ALPHA_DERIV=    1.83
2025-07-11 21:27:37.070 INFO: Epoch 20: head: Default, loss=1.4149, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    0.25, RMSE_ALPHA_DERIV=    2.80
2025-07-11 21:27:59.209 INFO: Epoch 21: head: Default, loss=0.8672, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    0.42, RMSE_ALPHA_DERIV=    1.85
2025-07-11 21:28:21.431 INFO: Epoch 22: head: Default, loss=0.8030, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.02 mDebye / A, RMSE_ALPHA_per_atom=    0.32, RMSE_ALPHA_DERIV=    1.95
2025-07-11 21:28:43.601 INFO: Epoch 23: head: Default, loss=1.0257, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.38, RMSE_ALPHA_DERIV=    2.18
2025-07-11 21:29:05.760 INFO: Epoch 24: head: Default, loss=0.8779, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.54, RMSE_ALPHA_DERIV=    1.55
2025-07-11 21:29:27.883 INFO: Epoch 25: head: Default, loss=1.1811, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.56, RMSE_ALPHA_DERIV=    2.00
2025-07-11 21:29:50.004 INFO: Epoch 26: head: Default, loss=0.4428, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.14, RMSE_ALPHA_DERIV=    1.57
2025-07-11 21:30:12.201 INFO: Epoch 27: head: Default, loss=0.7737, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.42, RMSE_ALPHA_DERIV=    1.70
2025-07-11 21:30:34.367 INFO: Epoch 28: head: Default, loss=0.4917, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.27, RMSE_ALPHA_DERIV=    1.48
2025-07-11 21:30:56.504 INFO: Epoch 29: head: Default, loss=1.1383, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.25, RMSE_ALPHA_DERIV=    2.49
2025-07-11 21:31:18.655 INFO: Epoch 30: head: Default, loss=0.9481, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.46, RMSE_ALPHA_DERIV=    1.90
2025-07-11 21:31:40.798 INFO: Epoch 31: head: Default, loss=1.1767, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.11, RMSE_ALPHA_DERIV=    2.63
2025-07-11 21:32:02.950 INFO: Epoch 32: head: Default, loss=0.5370, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.01 mDebye / A, RMSE_ALPHA_per_atom=    0.28, RMSE_ALPHA_DERIV=    1.56
2025-07-11 21:32:25.109 INFO: Epoch 33: head: Default, loss=1.0807, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.27, RMSE_ALPHA_DERIV=    2.40
2025-07-11 21:32:47.293 INFO: Epoch 34: head: Default, loss=0.6800, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.45, RMSE_ALPHA_DERIV=    1.42
2025-07-11 21:33:09.479 INFO: Epoch 35: head: Default, loss=0.4984, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.30, RMSE_ALPHA_DERIV=    1.44
2025-07-11 21:33:31.644 INFO: Epoch 36: head: Default, loss=0.8956, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.40, RMSE_ALPHA_DERIV=    1.94
2025-07-11 21:33:53.831 INFO: Epoch 37: head: Default, loss=0.5200, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.12, RMSE_ALPHA_DERIV=    1.73
2025-07-11 21:34:16.025 INFO: Epoch 38: head: Default, loss=0.8984, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.25, RMSE_ALPHA_DERIV=    2.19
2025-07-11 21:34:38.217 INFO: Epoch 39: head: Default, loss=0.4765, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.20, RMSE_ALPHA_DERIV=    1.56
2025-07-11 21:35:00.413 INFO: Epoch 40: head: Default, loss=0.5057, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.18, RMSE_ALPHA_DERIV=    1.64
2025-07-11 21:35:22.619 INFO: Epoch 41: head: Default, loss=0.6796, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.30, RMSE_ALPHA_DERIV=    1.79
2025-07-11 21:35:44.821 INFO: Epoch 42: head: Default, loss=0.4867, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.31, RMSE_ALPHA_DERIV=    1.40
2025-07-11 21:36:06.993 INFO: Epoch 43: head: Default, loss=0.4003, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.25, RMSE_ALPHA_DERIV=    1.33
2025-07-11 21:36:29.243 INFO: Epoch 44: head: Default, loss=0.5030, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.25, RMSE_ALPHA_DERIV=    1.54
2025-07-11 21:36:51.420 INFO: Epoch 45: head: Default, loss=0.3371, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.17, RMSE_ALPHA_DERIV=    1.32
2025-07-11 21:37:13.664 INFO: Epoch 46: head: Default, loss=0.4703, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.29, RMSE_ALPHA_DERIV=    1.42
2025-07-11 21:37:35.851 INFO: Epoch 47: head: Default, loss=0.4262, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.28, RMSE_ALPHA_DERIV=    1.33
2025-07-11 21:37:58.010 INFO: Epoch 48: head: Default, loss=0.4431, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.22, RMSE_ALPHA_DERIV=    1.48
2025-07-11 21:38:20.182 INFO: Epoch 49: head: Default, loss=0.5157, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.32, RMSE_ALPHA_DERIV=    1.45
2025-07-11 21:38:42.321 INFO: Epoch 50: head: Default, loss=0.3465, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.16, RMSE_ALPHA_DERIV=    1.35
2025-07-11 21:39:04.452 INFO: Epoch 51: head: Default, loss=0.3501, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.21, RMSE_ALPHA_DERIV=    1.29
2025-07-11 21:39:26.624 INFO: Epoch 52: head: Default, loss=0.3631, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.30, RMSE_ALPHA_DERIV=    1.14
2025-07-11 21:39:48.804 INFO: Epoch 53: head: Default, loss=0.3463, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.18, RMSE_ALPHA_DERIV=    1.32
2025-07-11 21:40:10.985 INFO: Epoch 54: head: Default, loss=0.4600, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.25, RMSE_ALPHA_DERIV=    1.46
2025-07-11 21:40:33.167 INFO: Epoch 55: head: Default, loss=0.4076, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.31, RMSE_ALPHA_DERIV=    1.21
2025-07-11 21:40:55.341 INFO: Epoch 56: head: Default, loss=0.7651, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.33, RMSE_ALPHA_DERIV=    1.86
2025-07-11 21:41:17.514 INFO: Epoch 57: head: Default, loss=0.4152, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.24, RMSE_ALPHA_DERIV=    1.39
2025-07-11 21:41:39.670 INFO: Epoch 58: head: Default, loss=0.2903, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.13, RMSE_ALPHA_DERIV=    1.26
2025-07-11 21:42:01.892 INFO: Epoch 59: head: Default, loss=0.4869, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.21, RMSE_ALPHA_DERIV=    1.57
2025-07-11 21:42:24.073 INFO: Epoch 60: head: Default, loss=0.3463, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.23, RMSE_ALPHA_DERIV=    1.24
2025-07-11 21:42:46.250 INFO: Epoch 61: head: Default, loss=1.0725, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.31, RMSE_ALPHA_DERIV=    2.34
2025-07-11 21:43:08.421 INFO: Epoch 62: head: Default, loss=0.2600, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.12, RMSE_ALPHA_DERIV=    1.19
2025-07-11 21:43:30.630 INFO: Epoch 63: head: Default, loss=0.2973, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.20, RMSE_ALPHA_DERIV=    1.18
2025-07-11 21:43:52.791 INFO: Epoch 64: head: Default, loss=0.2768, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.21, RMSE_ALPHA_DERIV=    1.10
2025-07-11 21:44:14.958 INFO: Epoch 65: head: Default, loss=0.3726, RMSE_MU_per_atom=0.00 mDebye, RMSE_MU_DERIV=0.00 mDebye / A, RMSE_ALPHA_per_atom=    0.19, RMSE_ALPHA_DERIV=    1.38
